sentences1,sentences2,is_similar
Marta bật khóc sau khi Brazil để thua Thuỵ_Điển trong những loạt sút luân_lưu Reuters,Xem loạt sút luân_lưu Brazil - Thuỵ_Điển,1
Phó_Chủ_tịch nước Đặng_Thị_Ngọc_Thịnh tặng quà cho Khoa Nhi - Bệnh_viện K,"Tại Bệnh_viện K Trung_ương , Phó_Chủ_tịch nước Đặng_Thị_Ngọc_Thịnh đã chia_sẻ gánh_nặng điều_trị bệnh ung_thư với gia_đình các em_nhỏ .",1
"Khoảng 100 người gồm bộ_đội công_binh Quân_khu thủ_đô , cảnh_sát phòng cháy chữa_cháy , cứu_hộ cứu nạn , công_an quận , thành_phố cùng một xe_cẩu , 2 máy_dò tìm tín_hiệu , nhiều kìm_cộng_lực cắt bê_tông được huy_động đến tìm_kiếm người_người gặp nạn .","Lực_lượng cứu_hộ khoảng 100 người , chủ_yếu là bộ_đội công_binh Quân_khu thủ_đô và phòng cháy chữa_cháy , đã tham_gia tìm_kiếm nạn_nhân .",1
"Cùng có được thành_tích 130 kg , nhưng Thạch_Kim_Tuấn có trọng_lượng cơ_thể nhẹ hơn Arli_Chontey của Kazakhstan nên xếp trên , đứng thứ tư . Tuy_nhiên , thành_tích trên trở_thành vô_nghĩa khi Thạch_Kim_Tuấn không một lần thực_hiện thành_công ở nội_dung cử đẩy .","Cùng có được thành_tích 130 kg , nhưng Thạch_Kim_Tuấn có trọng_lượng cơ_thể nhẹ hơn Arli_Chontey của Kazakhstan nên xếp trên , đứng thứ tư .",1
"Sơn Tùng hiện có tổng phiếu bình_chọn tại hai hệ_thống là 58377 phiếu , trong đó 17621 phiếu anh có là qua hệ_thống bình_chọn trên web và 40756 phiếu qua sms .","Trong đó , 6.295 phiếu bình_chọn cô nhận được thông_qua bình_chọn trên web và 3.107 bình_chọn qua hệ_thống sms .",0
"Ngoài_ra , trong 2 năm liên_tiếp , mỗi năm cơ_sở thực_hiện được tối_thiểu 1.000 chu_kỳ thụ_tinh ống_nghiệm ( quy_định cũ 300 ca một năm ) .","Cụ_thể , các cơ_sở này phải có ít_nhất 2 năm kinh_nghiệm thực_hiện kỹ_thuật thụ_tinh trong ống_nghiệm ( quy_định cũ 1 năm ) , kể từ ngày được Bộ Y_tế cho_phép thực_hiện kỹ_thuật này .",0
"Mãi đến phút 89 , Thanh_Bình mới ghi được bàn_thắng danh_dự cho FLC_Thanh_Hoá .","Phải đến cuối trận , Thanh_Bình mới có_thể ghi_bàn danh_dự cho Thanh_Hoá với một pha đánh_đầu cận thành .",1
Phía Quảng_Nam phản_ứng cho rằng Khánh_Hoà chơi thiếu fair-play nên trọng_tài Phùng_Đình_Dũng quyết_định không công_nhận bàn_thắng .,"Theo đó , trọng_tài này đã không công_nhận bàn_thắng của Khánh_Hoà khi cho rằng đội chủ_nhà đã chơi thiếu fair-play .",1
Quả tạt cầu âu của Nguyễn_Thị_Xuyến bên cánh trái khiến thủ_môn Waraporn bắt không dính bóng .,"Từ quả tạt bên cánh trái của Nguyễn_Thị_Xuyên , thủ_môn Waraporn bắt không dính bóng tạo điều_kiện cho Minh_Nguyệt lao vào đá bồi gỡ hoà .",1
"Nữ_huấn_luyện The_Voice_Kids cho_biết : "" Hiện_tại Tường đang tập_trung vào công_việc sáng_tác , lao_động nghệ_thuật cũng như công_việc dạy_dỗ âm_nhạc với cho các thế_hệ trẻ , với phương_châm luôn ôn_hoà với đồng_nghiệp và cầu_tiến trong các công_việc mà mình đang thực_hiện "" . / .","Hiện_tại , cô đang tập_trung vào công_việc sáng_tác và vai_trò huấn_luyện_viên tại Giọng hát Việt nhí : "" Với phương_châm luôn ôn_hoà với đồng_nghiệp và cầu_tiến trong các công_việc mà mình đang thực_hiện , Tường rất mong được tạo điều_kiện hỗ_trợ giúp Tường có cơ_hội để minh_chứng những nỗ_lực và sự cống_hiến nghiêm_túc của mình trong âm_nhạc mà Tường đã và đang hướng đến . """,1
"Hồi tháng 7 , một chiếc trực_thăng tấn_công Mi-25 bị bắn rơi gần Palmyra khiến 2 phi_công thiệt_mạng .","Vào tháng 4 , một trực_thăng tấn_công Mi-25N rơi khi bay gần thành_phố Homs , khiến cả 2 phi_công thiệt_mạng .",0
Do không dập lửa tắt hoàn_toàn nên ngọn lửa vẫn cháy âm_ỉ và khi gặp gió thổi mạnh đã cháy lan ra toàn_bộ ngôi nhà .,"Theo thông_tin ban_đầu , nguyên_nhân có_thể do trước khi lên rẫy chị Hoa nhóm lửa nấu_ăn nhưng không dập tắt hết nên ngọn lửa cháy âm_ỉ và gặp thời_tiết nắng nóng , gió mạnh nên mới bùng_phát .",1
"Trẻ đang được điều_trị tại khoa Nhi , sức_khoẻ trong quá_trình hồi_phục .","Hiện_tại , bé đang được điều_trị tại khoa Nhi , sức_khoẻ tiến_triển tốt .",1
"Bé được các bác_sĩ tiến_hành cầm máu , chỉnh mảnh sọ và vá sọ ngay trong đêm sau ca mổ kéo dài hai tiếng .","Các bác_sĩ đã tiến_hành cầm máu , chỉnh mảnh sọ và vá sọ cho bệnh_nhân ngay trong đêm .",1
"Tại đây , Petr_Cech đã lái xe đâm vào cột hầm .",Thủ_môn của Arsenal được cho là đã lái xe tự đâm vào cột điện bên đường .,1
"Để thực_hiện tốt chỉ_đạo của Thủ_tướng Chính_phủ và Thông_tư số 25/2016 ngày 29/7/2016 của Ngân_hàng Nhà_nước Việt_Nam ( NHNN ) , Thống_đốc NHNN vừa có văn_bản yêu_cầu các ngân_hàng được triển_khai Chương_trình cho vay hỗ_trợ nhà ở theo Nghị_quyết 02/NQ-CP khẩn_trương hướng_dẫn về cho vay hỗ_trợ nhà ở trong hệ_thống theo quy_định của NHNN và pháp_luật có liên_quan .","Để thực_hiện tốt chỉ_đạo của Thủ_tướng Chính_phủ và Thông_tư số 25/2016/TT-NHNN ngày 29/7/2016 của Ngân_hàng Nhà_nước Việt_Nam ( NHNN ) , ngày 04/8/2016 Thống_đốc NHNN ban_hành văn_bản số 5906/NHNN-TD yêu_cầu các ngân_hàng được triển_khai Chương_trình cho vay hỗ_trợ nhà ở theo Nghị_quyết 02/NQ-CP thực_hiện một_số nội_dung sau :",1
"Bức tượng bà Hillary_Clinton của nghệ_sĩ nhạc pop người Mỹ Knowledge_Bennett dự_kiến sẽ có giá lên đến 15.000 USD , tổ_chức đấu_giá cho_biết .","Cùng được bán_đấu_giá còn có bức tượng bà Hillary_Clinton của nghệ sĩ Knowledge_Bennett , dự_kiến sẽ có giá lên đến 15.000 USD .",1
"Cụ_thể , tới 13h15 ngày 5/8 , vàng SJC tại DOJI được niêm_yết ở mức 36 , 82 triệu đồng / lượng ( mua vào ) và 36 , 9 triệu đồng / lượng ( bán ra ) , tăng 70 ngàn đồng / lượng ở cả 2 chiều mua vào và bán ra so với cuối giờ chiều_qua .","Giá vàng_miếng SJC ngày 5.8 được Tập_Đoàn Vàng_bạc đá_quý DOJI giao_dịch ở ngưỡng : 36 , 82 triệu đồng / lượng ( mua vào ) - 36 , 92 triệu đồng / lượng ( bán ra ) .",1
"Đặc_biệt , có nhiều trường_hợp , những đối_tượng nghỉ_dưỡng đã chết năm 2014 như ông Lê_Văn_Lưỡng ( thôn Ba , xã Điện_Hồng ) hay ông Lê_Công_Yêm ( thôn Đa_Hoà_Nam , xã Điện_Hồng ) , đối_tượng Thành vẫn giả chữ_ký để nhận tiền điều_dưỡng .","Đáng chú_ý , trong số này có nhiều trường_hợp đã chết năm 2014 như ông Lê_Văn_Lưỡng ( thôn Ba ) hay ông Lê_Công_Yêm ( thôn Đa_Hoà_Nam ) thì Thành vẫn giả chữ_ký để nhận tiền .",1
"Đáng chú_ý , mã_độc này chưa hoạt_động mà ở chế_độ "" ngủ_đông "" , chờ lệnh tấn_công .","Đáng chú_ý , mã_độc này chưa hoạt_động mà ở chế_độ "" nằm_vùng "" .",1
Trần_Thị_Thu_Ngân đăng_quang ngôi_vị cao nhất cuộc thi Hoa_hậu Bản_sắc Việt toàn_cầu 2016,Trần_Thu_Ngân đăng_quang Hoa_hậu Bản_sắc Việt toàn_cầu 2016,1
Tuỳ điểm bán mà giá được niêm_yết 30.000 - 40.000 đồng / kg .,"Chợ lớn như chợ Châu_Đốc cũng chỉ bán xoài Thái , giá lẻ khoảng 30.000 - 50.000 đồng / kg .",0
"Họ chết một_cách anh_dũng khi tổ bay cố lái trực_thăng đổi hướng để giảm_thiểu thương_vong trên mặt đất "" , ông Peskov nói .","Họ đã chết một_cách anh_hùng , trong lúc phi_hành_đoàn cố_gắng chuyển hướng chiếc trực_thăng để giảm_thiểu thương_vong trên mặt đất - ông Peskov nói .",1
Người_đẹp ảnh thuộc về thí_sinh Trần_Thị_Thu_Ngân ( sinh_viên Thuỵ_Sĩ ) .,Người_đẹp Ảnh thuộc về thí_sinh Trần_Thị_Thu_Ngân .,1
Đối_thủ của họ là Hà_Nội T&T - đội giành chiến_thắng với tổng_tỷ_số 7 - 4 trước Quảng_Nam ( thắng 3 - 2 ở lượt đi ) .,"Với lợi_thế thắng 3 - 2 trên sân Tam_Kỳ trước QNK_Quảng_Nam ở lượt đi , Hà_Nội T&T chơi khá nhàn nhã khi gặp lại đối_thủ ở lượt về vào chiều 3 - 8 .",1
"Để sản_xuất , ông dùng ớt bột , phụ_gia mua trôi_nổi trên thị_trường , muối ... ngâm với nhau khoảng 3 tháng rồi mang nấu đặc , sau đó tiếp_tục ủ cho đến khi thành_phẩm .","Để sản_xuất , ông Thành dùng ớt bột , phụ_gia thực_phẩm mua trôi_nổi trên thị_trường , muối ... ngâm , ủ với nhau khoảng 3 tháng rồi mang nấu đặc và lại mang tiếp_tục ủ cho đến khi ra thành_phẩm .",1
"Trước đó hôm 8 - 7 , phiến_quân nhóm Nhà nước Hồi_giáo ( IS ) đã bắn hạ một máy_bay_trực_thăng Mi-25 của Nga khi trực thăng đang tham_gia hỗ_trợ quân_chính_phủ Syria tại mặt_trận phía đông thành_phố Palmyra .","Hôm 8.7 , một chiếc trực_thăng chiến_đấu Mi-25 của Nga đã bị tổ_chức Nhà_nước Hồi_giáo ( IS ) bắn rơi gần thành cổ Palmyra , khiến 2 phi_công Nga thiệt_mạng .",1
"Kết_hợp với các công_nghệ bảo_mật khác được tích_hợp sẵn trên điện_thoại của Samsung như bảo_mật vân tay , vẽ theo hình_mẫu , nhập mật_khẩu hay mã PIN , tính_năng bảo_mật bằng mống mắt trên Galaxy_Note 7 sẽ giúp dữ_liệu bên trong thiết_bị được bảo_đảm an_toàn khỏi những kẻ tò_mò .",Người dùng có_thể kết_hợp thêm với các phương_pháp bảo_mật khác trên máy như quét vân tay hay vẽ theo hình_mẫu để đảm_bảo an_toàn cho thiết_bị và dữ_liệu bên trong .,1
"Tại hiện_trường , lực_lượng chức_năng thu_giữ hai miếng kim_loại và một đầu đạn .","Qua khám_nghiệm thu_giữ hai miếng kim_loại , một đầu đạn .",1
"Căn_cứ vào nguyên_tắc điều_chỉnh giảm phí và kiến_nghị của Bộ Tài_chính , Phó_Thủ_tướng Vương_Đình_Huệ đồng_ý không điều_chỉnh giảm mức thu với các trạm thu phí trên quốc_lộ có mức thu theo Thông_tư số 90 nói trên vì mức thu các trạm này thấp .","Phó_Thủ_tướng Vương_Đình_Huệ vừa có văn_bản đồng_ý với kiến_nghị của Bộ Tài_chính về việc giảm thu phí đường_bộ trên đường quốc_lộ , cao_tốc đối_với một_số loại phương_tiện giao_thông .",1
"Trong loạt ảnh rò_rỉ mới nhất , chấu kết_nối Smart_Connector giống iPad_Pro không còn xuất_hiện .","Trong loạt ảnh rò_rỉ mới nhất , chấu kết_nối Smart_Connector giống iPad_Pro không còn xuất_hiện .",1
"Ông Lê_Quốc_Việt , Phó_chi_cục_trưởng Chi_cục Kiểm_lâm tỉnh Thanh_Hoá , cho_biết khỉ là loài động_vật rừng nguy_cấp , quý_hiếm thuộc nhóm IIB ( nhóm hạn_chế khai_thác , sử_dụng vì mục_đích thương_mại theo quy_định tại Nghị_định 32/2006/NĐ-CP ngày 30 - 3 - 2006 của Chính_phủ về Danh_mục động_vật , thực_vật rừng nguy_cấp , quý , hiếm ) .","Ông Lê_Quốc_Việt , Phó_chi_cục_trưởng Chi_cục Kiểm_lâm tỉnh Thanh_Hoá , cho_biết khỉ là loài động_vật rừng nguy_cấp , quý_hiếm thuộc nhóm IIB ( nhóm hạn_chế khai_thác , sử_dụng vì mục_đích thương_mại theo quy_định tại Nghị_định 32/2006/NĐ-CP ngày 30/3/2006 của Chính_phủ về Danh_mục động_vật , thực_vật rừng nguy_cấp , quý , hiếm ) .",1
""" Tất_cả thanh_thiếu_niên phải ngăn_chặn những loại văn_hoá , tư_tưởng , lối sống bất_thường xâm_nhập vào xã_hội chúng_ta bằng cách đứng lên chống lại chiến_lược của kẻ_thù ... "" , ông Kim_Jong-un nói , đồng_thời nhấn_mạnh tầm quan_trọng của việc tăng_cường giáo_dục tư_tưởng cho thế_hệ trẻ .","Trước đó , phát_biểu tại đại_hội trên hôm 27 - 8 , ông Kim kêu_gọi : "" Giới trẻ nên ngăn_chặn văn_hoá và lối sống phương Tây xâm_nhập vào xã_hội của chúng_ta bằng cách đứng lên chống lại mạnh_mẽ chiến_lược của kẻ_thù "" .",1
"VinaPhone-S là dịch_vụ di_động vệ_tinh của VinaPhone với vùng phủ rộng lên đến 2/3 thế_giới , và phủ_sóng 100 % lãnh_thổ Việt_Nam từ vùng núi đến biển đảo , từ vùng_biển đến vùng_trời ... Với thiết_bị di_động vệ_tinh và SIM_VinaPhone trả sau đã đăng_ký dịch_vụ VinaPhone-S , khách_hàng có_thể dễ_dàng thực_hiện các dịch_vụ thoại , nhắn tin SMS , định_vị vệ_tinh ( GPS ) .","Ông Phạm_Đức_Long , Tổng_giám_đốc VNPT cho_biết , VinaPhone-S là dịch_vụ di_động vệ_tinh của VinaPhone với vùng phủ rộng lên đến 140 quốc_gia và phủ_sóng 100 % lãnh_thổ Việt_Nam từ vùng núi đến biển đảo .",1
Chủ_tịch UBND TP Hà_Nội trực_tiếp tới hiện_trường,Chủ_tịch thành_phố Hà_Nội Nguyễn_Đức_Chung trực_tiếp đến hiện_trường chỉ_đạo công_tác cứu_hộ .,1
